comentario concentracion sin ruido,comentario concentracion ruido rosa,comentario estado sin ruido,comentario estado ruido rosa,comentario alegria,comentario tristeza,comentario frustracion
Relajado,el sonido de los pulsos fue estresante y me desconcentraron,Relajado,"tranquila, relajada, fue relajante los pulsos","Estres, aburrimiento","Aburrimiento, tristeza leve","Frustracion, estres"
Relajado,"el sonido fue agradable, ayudó a la concentración",Relajado,"tranquila, fue relajante los pulsos","Cringe, no le gusto la historia, la sangre arruino la historia",Bastante tristeza,"Frustracion, estres"
Ligeramente más enfocado,si tuvo más efecto en el nivel de concentración pero no tuvo un gran impacto en mi estado de ánimo,Más relajante sin efecto de pulsos,"tranquila, sin efecto de pulsos","Aburrido, hostigado, desesperado, cringe.",,"Asi es la vida de triste. Frustracion leve, resignacion"
Más concentrada,fue relajante y me ayudó a concentrarme,Más relajante pero no siente que fue por efecto de los pulsos,"tranquilo, fue relajante los pulsos","Estres, un poco de alegría, pero se sintió forzado porque en cada escena les pasaba algo malo solo para que no tuviera un final rápido la historia",,
No concentración por pulsos,los pulsos dieron bastante relajación y me ayudó a concentrarme,Relajación por pulsos,"fue relajante tener los pulsos, incluso empezó a dar sueño",,,
Desconcentración por pulsos,"estresada, no fue agradable los pulsos, me desconcentro",Más relajado por los pulsos,el sonido de los pulsos fue estresante y me desconcentraron,,,
Concentración por pulsos,"tranquila, un poco mas de concentración",Relajado por los pulsos,"el sonido fue agradable, ayudó a la concentración",,,
Concentración por pulsos,"tranquila, más concentrada",Más relajada con los pulsos,si tuvo más efecto en el nivel de concentración pero no tuvo un gran impacto en mi estado de ánimo,,,
"me dolio la cabeza, me siento mareada y con mucha angustia",mucha más concentración con pulsos,,fue relajante y me ayudó a concentrarme,,,
El mouse me estresó porque no marcaba,más concentración y más tranquilo,,los pulsos dieron bastante relajación y me ayudó a concentrarme,,,
"Las operaciones estaban muy dificiles, otra emocion experimentada fue la decepcion de no poder obtener buenos resultados en las operaciones, frustracion alta",,,,,,
Me ayudó a relajarme,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Se sintieron agradables los pulsos,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Se sintieron agradables los pulsos,,,,,,
